Number of Solutions, Number of Feasible, Objective Function Values, best objective value, Time, hours, reduction_percentage, Number of thermal generators, number of renewable generators, number of variables, number of constraints
101,0,"[np.float64(34720190.02000029), np.float64(1814223.5845829698), np.float64(1847560.6304674584), np.float64(1883590.8079602101), np.float64(1974658.5200001153), np.float64(2041483.1160866043), np.float64(2106894.1831969447), np.float64(2114788.03030152), np.float64(2142522.990000001), np.float64(2201658.8811566834), np.float64(2360264.1799999997), np.float64(2531597.1949329814), np.float64(2550907.5199999954), np.float64(2565377.4999999963), np.float64(2565962.5927786324), np.float64(2590301.798220313), np.float64(2598420.100810752), np.float64(2740821.9668751513), np.float64(2917989.8929635286), np.float64(7047858.84535498), np.float64(7076929.63059295), np.float64(7084387.702019905), np.float64(7096511.473112568), np.float64(7100081.3847761545), np.float64(7105992.52042664), np.float64(7116415.827266134), np.float64(7118412.922898889), np.float64(7129085.978621461), np.float64(7133942.8694108995), np.float64(7139051.067417773), np.float64(7141444.133608589), np.float64(7153412.782745292), np.float64(7157463.603725454), np.float64(7180662.429749845), np.float64(7186136.571140068), np.float64(7188661.535105894), np.float64(7191078.699041943), np.float64(7192549.845043877), np.float64(7199399.306211516), np.float64(7199517.086441074), np.float64(7200184.604036104), np.float64(7207994.929011407), np.float64(7213308.993397448), np.float64(7225244.651050264), np.float64(7238650.357226013), np.float64(7248472.1288714465), np.float64(7253105.40847626), np.float64(7285296.860076724), np.float64(7285744.421644115), np.float64(7292363.572946375), np.float64(7296942.446472426), np.float64(7298719.686409075), np.float64(7310649.501038711), np.float64(7314148.785732357), np.float64(7316168.7443903675), np.float64(7326066.357776746), np.float64(7375013.967367317), np.float64(7426953.286893402), np.float64(10022853.765284898), np.float64(10108874.920000004), np.float64(10341299.460000014), np.float64(10345122.639999999), np.float64(10376717.029999979), np.float64(10508738.786374345), np.float64(10704392.80999995), np.float64(10728193.309999969), np.float64(10732326.94999996), np.float64(10822774.319999954), np.float64(10872001.979999967), np.float64(10887048.479999933), np.float64(10940025.049999911), np.float64(10950800.31999994), np.float64(11006563.23999994), np.float64(11023288.979999926), np.float64(11026549.899999926), np.float64(11081237.809999924), np.float64(11100230.579999901), np.float64(11137623.759999933), np.float64(11144243.73999992), np.float64(11150530.849999929), np.float64(11219171.0699999), np.float64(11265013.809999932), np.float64(11426619.17999994), np.float64(11560047.819999887), np.float64(11589213.989999907), np.float64(11593421.369999913), np.float64(11644935.969999919), np.float64(12034468.669999938), np.float64(13691539.129999882), np.float64(14008227.43999989), np.float64(14136652.2799999), np.float64(32109525.790000077), np.float64(32427198.5177756), np.float64(32584445.640000105), np.float64(32764411.91709359), np.float64(32766553.77000013), np.float64(32905241.580000065), np.float64(33960243.03000003), np.float64(34005016.13000005), np.float64(34105658.01000021), np.float64(34198517.10000012)]",1814223.5845829698,-1,48,0.0,73,81,44544,42899
101,0,"[np.float64(34470581.28000015), np.float64(1929998.830000007), np.float64(1945429.259916118), np.float64(1946920.8262701423), np.float64(2002343.7614481747), np.float64(2088325.5099333029), np.float64(2119326.000000002), np.float64(2155832.580000002), np.float64(2156944.1387853688), np.float64(2183162.7200000025), np.float64(2262361.490000001), np.float64(2282916.5742837545), np.float64(2354302.27), np.float64(2355925.260000001), np.float64(2404822.0005163574), np.float64(2503739.6766846753), np.float64(2516961.0430584247), np.float64(2549759.3299999945), np.float64(3094148.747292656), np.float64(6964529.277120502), np.float64(7101405.42772588), np.float64(7105462.116391851), np.float64(7111665.715827784), np.float64(7112521.537787279), np.float64(7113561.695723336), np.float64(7129598.262539016), np.float64(7142445.732487525), np.float64(7146592.641915012), np.float64(7150441.58853167), np.float64(7154756.043973904), np.float64(7160103.799870589), np.float64(7163751.802700454), np.float64(7166289.733216894), np.float64(7168981.072700685), np.float64(7178920.472785513), np.float64(7182708.228135069), np.float64(7189405.283629601), np.float64(7201936.05393635), np.float64(7204989.734790894), np.float64(7216639.975724628), np.float64(7216864.310768492), np.float64(7219026.116770981), np.float64(7228182.647565497), np.float64(7230176.388928731), np.float64(7232177.822503122), np.float64(7232992.25962028), np.float64(7236872.975206534), np.float64(7253324.668091276), np.float64(7266713.887649112), np.float64(7284915.019141126), np.float64(7286388.977063633), np.float64(7302775.018274226), np.float64(7311795.427392361), np.float64(7356139.854649984), np.float64(7367297.554429464), np.float64(7377964.554977066), np.float64(9878711.670000002), np.float64(10102847.120000001), np.float64(10176843.437161172), np.float64(10315624.955202162), np.float64(10369606.379999977), np.float64(10483818.0486264), np.float64(10496337.940000014), np.float64(10612253.090348054), np.float64(10695245.36999998), np.float64(10720328.419999953), np.float64(10740145.509999976), np.float64(10758562.449999953), np.float64(10809051.369999968), np.float64(10814953.009999948), np.float64(10818149.839999948), np.float64(10879321.409999928), np.float64(10949911.979999933), np.float64(10986191.609999953), np.float64(11042508.739999909), np.float64(11094289.829999914), np.float64(11095469.139999928), np.float64(11116600.13999993), np.float64(11120639.949999902), np.float64(11127720.199999947), np.float64(11198286.099999921), np.float64(11216609.999999922), np.float64(11428300.049999915), np.float64(11495075.489999909), np.float64(11529642.769999912), np.float64(11833147.049999928), np.float64(11901969.859999873), np.float64(11924068.499999922), np.float64(13524934.824835582), np.float64(13907682.449999906), np.float64(14029989.179999897), np.float64(31783198.159779746), np.float64(31915074.864775844), np.float64(31978515.870000094), np.float64(32123058.525974233), np.float64(32559297.76664046), np.float64(32966691.890000194), np.float64(33924697.380000256), np.float64(33996101.56000007), np.float64(34107570.09000018), np.float64(34136420.61000017)]",1929998.830000007,-1,48,0.0,73,81,44544,42899
97,0,"[np.float64(25219304.930000298), np.float64(1726494.3801646694), np.float64(2012659.5394526734), np.float64(2067984.992064319), np.float64(2069925.723238455), np.float64(2077221.062539802), np.float64(2094250.8793393879), np.float64(2128082.979896634), np.float64(2147046.1719960943), np.float64(2178597.290378369), np.float64(2229054.135996719), np.float64(2246982.1637885775), np.float64(2258112.930663124), np.float64(2329706.483462629), np.float64(2341632.2500000005), np.float64(2367267.4469385585), np.float64(2433626.8500000006), np.float64(2655437.1359450654), np.float64(2826390.359999978), np.float64(6889136.635776109), np.float64(6967112.206052225), np.float64(6989233.756161728), np.float64(7017947.465096135), np.float64(7025166.99747249), np.float64(7027209.891296768), np.float64(7036736.5006240755), np.float64(7047952.784496233), np.float64(7055051.312881802), np.float64(7060016.353943274), np.float64(7120909.022758214), np.float64(7123072.652855087), np.float64(7136875.437926502), np.float64(7160881.553010307), np.float64(7187565.04808921), np.float64(7192229.897771702), np.float64(7214964.2461409485), np.float64(7242618.351983534), np.float64(7247224.769829981), np.float64(7259233.793116165), np.float64(7272593.165315643), np.float64(7286815.89987642), np.float64(7334325.415076858), np.float64(7369481.970862854), np.float64(21334369.460000187), np.float64(21376237.440000214), np.float64(21405517.00000017), np.float64(21575136.360000208), np.float64(21587756.31000025), np.float64(21627125.81000029), np.float64(21875572.850000344), np.float64(21900184.90000029), np.float64(21944032.57000032), np.float64(21983594.990000285), np.float64(22030582.320000194), np.float64(22065120.150000293), np.float64(22110667.940000314), np.float64(22122548.08000025), np.float64(22128223.20000026), np.float64(22346788.920000356), np.float64(22479795.45000031), np.float64(22642451.87000047), np.float64(23907426.98000043), np.float64(23982281.97000036), np.float64(23998740.81000038), np.float64(24005660.310000375), np.float64(24099884.810000382), np.float64(24100183.02000046), np.float64(24174247.150000397), np.float64(24248762.230000433), np.float64(24287928.620000407), np.float64(24304154.390000343), np.float64(24325383.470000394), np.float64(24403683.440000314), np.float64(24484631.640000414), np.float64(24591673.670000408), np.float64(24676038.170000404), np.float64(24709741.83000035), np.float64(24790670.86000033), np.float64(24816683.510000356), np.float64(24886758.81000027), np.float64(24934078.990000352), np.float64(25131797.710000433), np.float64(25207245.030000295), np.float64(25350302.410000347), np.float64(25419501.610000364), np.float64(27723250.98000017), np.float64(28070562.070000127), np.float64(28643881.20000019), np.float64(28846775.900000177), np.float64(29602397.790000122), np.float64(29761118.430000104), np.float64(31733811.01000003), np.float64(31972938.600000136), np.float64(32437842.83380686), np.float64(32593991.3595408), np.float64(32802620.186729405), np.float64(33266353.421142325)]",1726494.3801646694,-1,48,0.0,73,81,44544,42899
101,0,"[np.float64(33365114.99000007), np.float64(1654268.8936890257), np.float64(1749543.360000004), np.float64(1833004.5468956623), np.float64(1885922.9285485293), np.float64(1996896.5972822893), np.float64(2005517.7576000108), np.float64(2056394.9800000067), np.float64(2065415.8855747313), np.float64(2100820.3900000053), np.float64(2104825.367500002), np.float64(2234960.383790149), np.float64(2269866.2300000004), np.float64(2337486.1999999983), np.float64(2379756.0800000005), np.float64(2396452.20808045), np.float64(2402090.372242858), np.float64(2465617.5237597865), np.float64(2877991.4063152205), np.float64(6984035.087934101), np.float64(6999854.078669839), np.float64(7005246.883816037), np.float64(7029799.92313749), np.float64(7046133.421323115), np.float64(7047000.8802046515), np.float64(7047166.588823383), np.float64(7060594.944013413), np.float64(7083112.205361734), np.float64(7086302.181126595), np.float64(7086487.806495949), np.float64(7096549.238366037), np.float64(7100823.275149724), np.float64(7103780.886742208), np.float64(7114285.988476461), np.float64(7115516.257622322), np.float64(7129236.796928833), np.float64(7131345.610662006), np.float64(7143126.761439868), np.float64(7148202.828830675), np.float64(7151690.27030353), np.float64(7152959.015708003), np.float64(7160947.033662374), np.float64(7174466.721175568), np.float64(7196423.449645467), np.float64(7196986.205456373), np.float64(7201505.212066113), np.float64(7202045.49532071), np.float64(7208021.140602082), np.float64(7208630.922966664), np.float64(7222022.454748425), np.float64(7222905.304046423), np.float64(7228889.938307946), np.float64(7234590.431296212), np.float64(7242715.393978889), np.float64(7246253.87760585), np.float64(7256850.142180323), np.float64(7262497.338634713), np.float64(7263417.4173467485), np.float64(7280450.970824492), np.float64(7282683.852412209), np.float64(7283996.349113653), np.float64(10589041.300000008), np.float64(10639923.497942815), np.float64(10734785.819999944), np.float64(10762441.059999999), np.float64(10799923.449999966), np.float64(10935444.99999993), np.float64(10962744.649999952), np.float64(10994737.529999906), np.float64(11006302.049999902), np.float64(11039751.25999993), np.float64(11061853.92999997), np.float64(11181336.437428478), np.float64(11192250.629999915), np.float64(11301647.9099999), np.float64(11311443.279999936), np.float64(11338974.159999914), np.float64(11391608.839999914), np.float64(11430753.589999914), np.float64(11557242.26999992), np.float64(11580203.889999906), np.float64(11664251.699999906), np.float64(11676789.549999923), np.float64(11725141.55999995), np.float64(11804605.579999916), np.float64(11812165.349999916), np.float64(11814996.239999892), np.float64(12001118.219999904), np.float64(14611291.759999916), np.float64(14635737.569999909), np.float64(14817281.819999896), np.float64(31459689.99707546), np.float64(31951166.91630679), np.float64(31989708.739432637), np.float64(32354859.8763637), np.float64(32735649.646400206), np.float64(32887340.760000058), np.float64(32976643.734979156), np.float64(33099447.45000007), np.float64(33374250.230000068), np.float64(33379633.070000067)]",1654268.8936890257,-1,48,0.0,73,81,44544,42899
101,0,"[np.float64(33720953.55000012), np.float64(1534465.278342967), np.float64(1616655.8950497606), np.float64(1806598.5038776994), np.float64(1900805.001575007), np.float64(1949271.8189324653), np.float64(1978803.744875245), np.float64(1998373.1269381568), np.float64(2017679.1895674325), np.float64(2231471.576983455), np.float64(2238382.831158796), np.float64(2257654.6104204156), np.float64(2264853.0223864554), np.float64(2295361.4164827066), np.float64(2358143.3816512716), np.float64(2445761.490436128), np.float64(2500072.87606712), np.float64(2599173.012370042), np.float64(3049204.2245769575), np.float64(6864510.13369556), np.float64(6982174.058733264), np.float64(6995513.148577567), np.float64(7006962.710322199), np.float64(7011597.7321776645), np.float64(7014252.273047021), np.float64(7035529.153785086), np.float64(7040991.575016038), np.float64(7046019.505742332), np.float64(7046909.365452208), np.float64(7049844.110296125), np.float64(7074272.748685123), np.float64(7086682.5684104385), np.float64(7109049.638981718), np.float64(7114556.215713104), np.float64(7119467.722875966), np.float64(7121498.039690741), np.float64(7159374.946497729), np.float64(7163151.393757043), np.float64(7171400.910769741), np.float64(7193906.114140546), np.float64(7206174.050687783), np.float64(7207218.651443267), np.float64(7210501.0732914265), np.float64(7213592.273333501), np.float64(7231158.262492537), np.float64(7235660.138315882), np.float64(7246882.16962763), np.float64(7252286.610816701), np.float64(7252372.502295339), np.float64(7266434.378166994), np.float64(7273154.122428382), np.float64(7276620.990268465), np.float64(7316210.793436159), np.float64(7328278.618649044), np.float64(7328528.173217958), np.float64(7344893.955715741), np.float64(10611580.589999938), np.float64(10705118.499999972), np.float64(10783959.169999922), np.float64(10861145.939999908), np.float64(10907861.929999953), np.float64(10913550.079999963), np.float64(10944848.969999958), np.float64(10974087.669999953), np.float64(10982723.459999962), np.float64(11014774.329999944), np.float64(11086258.25546507), np.float64(11091567.279999947), np.float64(11103196.319999952), np.float64(11120309.559999913), np.float64(11125669.669999924), np.float64(11143544.899999967), np.float64(11217993.729999924), np.float64(11273456.969999924), np.float64(11292691.987926608), np.float64(11308871.529999906), np.float64(11352527.069999928), np.float64(11356890.359999955), np.float64(11376416.149999924), np.float64(11404669.029999932), np.float64(11430540.969999902), np.float64(11462247.32999991), np.float64(11642683.22999995), np.float64(11654707.629999945), np.float64(11876192.829999909), np.float64(12445573.719999956), np.float64(14401594.459999908), np.float64(14470835.659999907), np.float64(14626722.70999992), np.float64(14680635.749999909), np.float64(14952198.019999908), np.float64(30984452.79977683), np.float64(31380470.903692212), np.float64(31451418.430000104), np.float64(32138268.473731395), np.float64(32215613.41784572), np.float64(32491398.600000102), np.float64(32601844.17000017), np.float64(33122305.300000068), np.float64(33344975.920000147), np.float64(33362642.200000115)]",1534465.278342967,-1,48,0.0,73,81,44544,42899
101,0,"[np.float64(33710995.38000022), np.float64(1592143.6978785757), np.float64(1717727.662080434), np.float64(1719653.6685938723), np.float64(1730132.0105552105), np.float64(1868447.1145011925), np.float64(1872758.4900000053), np.float64(1975514.759026662), np.float64(2046091.4356283918), np.float64(2067613.2700000084), np.float64(2168947.9193184935), np.float64(2213677.8919938533), np.float64(2220063.423447338), np.float64(2289032.9438565653), np.float64(2357544.499516454), np.float64(2412792.83), np.float64(2575663.559999997), np.float64(2611310.5800590664), np.float64(2647233.8899999894), np.float64(7032169.20330175), np.float64(7034465.095682785), np.float64(7052801.474949174), np.float64(7064803.008547728), np.float64(7083961.650008266), np.float64(7085515.047958299), np.float64(7088123.902999647), np.float64(7094614.590348083), np.float64(7099659.856316975), np.float64(7117113.7521282), np.float64(7120522.972471499), np.float64(7149712.888453097), np.float64(7156828.922676333), np.float64(7158806.302784204), np.float64(7161332.382386596), np.float64(7165606.407295588), np.float64(7170418.320170123), np.float64(7170551.685512007), np.float64(7192729.0124690905), np.float64(7192826.665779845), np.float64(7197580.9512013085), np.float64(7203668.756827261), np.float64(7208141.5737654315), np.float64(7209730.535910106), np.float64(7218436.056918577), np.float64(7227855.979090928), np.float64(7230168.780676833), np.float64(7244362.085068364), np.float64(7260926.404554417), np.float64(7282184.881969022), np.float64(7306228.370180721), np.float64(7307815.640872222), np.float64(7332950.5089789955), np.float64(7369995.574501832), np.float64(7390909.819949761), np.float64(10541673.009999983), np.float64(10567350.349999947), np.float64(10710520.868375052), np.float64(10758462.9344855), np.float64(10781627.33999996), np.float64(10827560.269999942), np.float64(10833587.849999966), np.float64(10891984.559999939), np.float64(10925132.029999955), np.float64(10999490.868064443), np.float64(11006431.26999992), np.float64(11026465.96999995), np.float64(11046552.18999989), np.float64(11085692.909999933), np.float64(11116553.659999931), np.float64(11124896.72999992), np.float64(11146206.70999994), np.float64(11179461.279999932), np.float64(11205830.729999933), np.float64(11213073.549999928), np.float64(11247427.999999912), np.float64(11261185.009999929), np.float64(11294045.909999926), np.float64(11357267.399999939), np.float64(11359457.489999916), np.float64(11366789.219999952), np.float64(11383818.839999907), np.float64(11449000.429999908), np.float64(11503162.389999965), np.float64(11590016.979999945), np.float64(11656976.469999906), np.float64(11787496.89999991), np.float64(11863918.199999854), np.float64(14110577.949999882), np.float64(14491671.983219683), np.float64(14534303.791527092), np.float64(15131153.659999916), np.float64(31467578.534957107), np.float64(31575527.081201248), np.float64(31613311.35714927), np.float64(31892483.910849083), np.float64(31940211.85930405), np.float64(32345905.633678664), np.float64(32867060.930000026), np.float64(33170561.82000015), np.float64(33328709.23000008), np.float64(33350443.850000106)]",1592143.6978785757,-1,48,0.0,73,81,44544,42899
101,0,"[np.float64(33732388.490000054), np.float64(1306069.724977776), np.float64(1555245.2637629046), np.float64(1823993.8559504342), np.float64(1875127.6212001748), np.float64(1929557.0275067685), np.float64(2089996.6517448106), np.float64(2161156.2305075224), np.float64(2231604.32892451), np.float64(2271572.6002065493), np.float64(2271556.769999999), np.float64(2377907.6599999988), np.float64(2380269.259999999), np.float64(2411596.79), np.float64(2426297.592507808), np.float64(2427052.289999999), np.float64(2538060.0699999984), np.float64(2595105.4986224165), np.float64(2619672.1199999955), np.float64(6918846.631442528), np.float64(6920014.681324016), np.float64(7008827.138636018), np.float64(7048627.145218146), np.float64(7086049.623521431), np.float64(7087466.064539462), np.float64(7089779.463742619), np.float64(7092735.432497786), np.float64(7104875.5922803935), np.float64(7118001.098498174), np.float64(7133265.320339434), np.float64(7138465.189790412), np.float64(7146328.981293549), np.float64(7148438.984219849), np.float64(7150220.280646932), np.float64(7151466.9452607), np.float64(7154796.157130569), np.float64(7173332.553672564), np.float64(7179147.087591928), np.float64(7184887.797596057), np.float64(7187601.658528202), np.float64(7196254.1247212), np.float64(7206924.375325305), np.float64(7214880.317701004), np.float64(7220409.40687464), np.float64(7230232.782016871), np.float64(7234059.806741697), np.float64(7235729.9111600695), np.float64(7240243.308375677), np.float64(7244071.591247542), np.float64(7246629.695818089), np.float64(7253389.896903368), np.float64(7254719.66262096), np.float64(7259138.50187833), np.float64(7265437.5443258), np.float64(7276909.808004395), np.float64(7346074.209414977), np.float64(7389366.848982321), np.float64(7398134.16414223), np.float64(10552710.049999997), np.float64(10700223.219999958), np.float64(10710195.36999995), np.float64(10710329.099999957), np.float64(10713463.669999965), np.float64(10723044.479471901), np.float64(10769587.279999953), np.float64(10781141.57999995), np.float64(10961198.169999938), np.float64(10975717.219999922), np.float64(10998412.429999936), np.float64(11078629.04999994), np.float64(11093379.219999949), np.float64(11103609.249999924), np.float64(11143961.489999896), np.float64(11193569.169999927), np.float64(11214967.299999908), np.float64(11226310.65999992), np.float64(11250934.119999913), np.float64(11330809.289999923), np.float64(11348859.179999935), np.float64(11356543.569999907), np.float64(11406958.51999993), np.float64(11442558.649999915), np.float64(11466377.569999931), np.float64(11490791.719999928), np.float64(11536112.509999953), np.float64(11572121.95999993), np.float64(11804088.719999887), np.float64(11807376.959999936), np.float64(11834073.199999915), np.float64(14275948.059999898), np.float64(14986117.729999904), np.float64(31738172.34340419), np.float64(32009243.849883746), np.float64(32449786.378816), np.float64(32970573.537417606), np.float64(33149775.340000056), np.float64(33225506.41000005), np.float64(33269386.99000013), np.float64(33328625.620000042), np.float64(33658918.34000029), np.float64(33718718.77000012)]",1306069.724977776,-1,48,0.0,73,81,44544,42899
101,0,"[np.float64(34704557.3900003), np.float64(1784892.2907958324), np.float64(1793505.5100000044), np.float64(1843145.6377576105), np.float64(1972793.6800001138), np.float64(1985220.7000000065), np.float64(2037243.5252528838), np.float64(2044814.6300000055), np.float64(2081005.1491796537), np.float64(2095411.1500000071), np.float64(2100173.207128646), np.float64(2192360.5400000038), np.float64(2238245.3199999994), np.float64(2382870.2), np.float64(2450490.2612279304), np.float64(2548863.0599999963), np.float64(2694995.2799999826), np.float64(2726013.9532134216), np.float64(2810963.8963569133), np.float64(6997963.87820364), np.float64(7017806.734269517), np.float64(7030912.891292212), np.float64(7055056.554162299), np.float64(7071947.76642212), np.float64(7082500.465390961), np.float64(7083220.494494165), np.float64(7110801.595245828), np.float64(7121409.916873107), np.float64(7121744.758157534), np.float64(7124801.613104974), np.float64(7128173.03649811), np.float64(7134066.758867342), np.float64(7144031.366947762), np.float64(7146583.136824527), np.float64(7158433.507803826), np.float64(7161257.9265625905), np.float64(7180566.114230099), np.float64(7183153.2778914785), np.float64(7184163.313123673), np.float64(7194659.386283699), np.float64(7208803.051200829), np.float64(7221041.763927951), np.float64(7223361.0825748015), np.float64(7229428.2571244845), np.float64(7232552.641286947), np.float64(7232829.708065528), np.float64(7242122.1707345545), np.float64(7242878.887113577), np.float64(7271322.1311693955), np.float64(7271871.757819097), np.float64(7329012.289888983), np.float64(7337662.561684736), np.float64(10346192.519999979), np.float64(10420382.319999974), np.float64(10424377.830000004), np.float64(10554873.479999963), np.float64(10627567.579999972), np.float64(10822848.029999964), np.float64(10843643.589999922), np.float64(10910020.309999932), np.float64(10960437.70999992), np.float64(10964635.129999913), np.float64(10969655.129999936), np.float64(10969682.209999926), np.float64(11020236.96999989), np.float64(11020291.649999922), np.float64(11025284.179999942), np.float64(11117647.59999993), np.float64(11121052.359999923), np.float64(11128871.179999907), np.float64(11143147.709999941), np.float64(11227462.029999914), np.float64(11242773.099999929), np.float64(11243947.76999992), np.float64(11257771.919999909), np.float64(11265236.999999924), np.float64(11278298.469999928), np.float64(11370629.439999925), np.float64(11375550.549999917), np.float64(11393372.609999942), np.float64(11480082.769999892), np.float64(11558247.839999905), np.float64(11566303.00647042), np.float64(11629854.929999981), np.float64(11688237.139999915), np.float64(11903365.65999993), np.float64(14100824.764284007), np.float64(14357756.95999991), np.float64(14388175.866984002), np.float64(14499872.28999991), np.float64(14812262.819999894), np.float64(32162248.010000065), np.float64(32376319.40159459), np.float64(32563182.490000088), np.float64(32574332.434588596), np.float64(32743056.0314007), np.float64(32817255.20309288), np.float64(33450842.77000006), np.float64(33467596.210000213), np.float64(33523322.810000073), np.float64(33661338.99000006)]",1784892.2907958324,-1,48,0.0,73,81,44544,42899
101,0,"[np.float64(33732633.67000007), np.float64(1449200.3799778698), np.float64(1563428.0102573757), np.float64(1761099.5828571501), np.float64(1776032.3445119055), np.float64(2008752.7000000086), np.float64(2106766.6100000036), np.float64(2139415.9217569907), np.float64(2139494.646293802), np.float64(2241061.0199999986), np.float64(2266543.221736033), np.float64(2295394.359999997), np.float64(2325991.4577682377), np.float64(2405211.824945412), np.float64(2434421.7765307995), np.float64(2522329.179999997), np.float64(2693217.249999988), np.float64(2738427.414517285), np.float64(2827201.5323562906), np.float64(6943854.163014522), np.float64(6989406.610522589), np.float64(7000953.954660317), np.float64(7057988.483733398), np.float64(7078117.699429262), np.float64(7079331.988440071), np.float64(7079508.464286461), np.float64(7080141.089530361), np.float64(7090274.890303567), np.float64(7093179.735020546), np.float64(7100250.945623913), np.float64(7107272.019541578), np.float64(7111346.597859847), np.float64(7120964.376666118), np.float64(7134374.836984301), np.float64(7147436.171758752), np.float64(7155463.698399233), np.float64(7158972.183784404), np.float64(7160403.663829981), np.float64(7167709.607885388), np.float64(7172495.52599712), np.float64(7184685.545300614), np.float64(7187575.685518636), np.float64(7192182.474990234), np.float64(7218573.420178046), np.float64(7225657.171536315), np.float64(7227528.225223159), np.float64(7237287.958365097), np.float64(7249284.972320066), np.float64(7264505.996541757), np.float64(7272657.146652297), np.float64(7283188.892345831), np.float64(7294920.544599973), np.float64(7298849.469659021), np.float64(7359266.836617627), np.float64(7389080.230224539), np.float64(7423112.200332727), np.float64(10285780.709999947), np.float64(10514576.880000012), np.float64(10550048.069999995), np.float64(10557580.739999961), np.float64(10587976.02999996), np.float64(10627200.857039856), np.float64(10794372.519999964), np.float64(10812189.159999965), np.float64(10862242.219999954), np.float64(10906854.609997798), np.float64(10936733.129999932), np.float64(10939983.829999914), np.float64(11022083.939999929), np.float64(11089786.189999877), np.float64(11094783.089999931), np.float64(11104396.119999908), np.float64(11171902.44999996), np.float64(11200016.04999992), np.float64(11218119.609999921), np.float64(11268820.189999918), np.float64(11279094.659999913), np.float64(11298088.469999924), np.float64(11305712.659999922), np.float64(11308455.149999933), np.float64(11310609.999999912), np.float64(11319926.529999917), np.float64(11323822.54999991), np.float64(11390828.589999909), np.float64(11426850.189999929), np.float64(11553821.859999929), np.float64(11562293.219999906), np.float64(11679012.2399999), np.float64(11775732.21999994), np.float64(11806443.009999938), np.float64(14431254.90999809), np.float64(31558215.876080908), np.float64(31744652.21097558), np.float64(32527163.090000097), np.float64(32632876.134989038), np.float64(32655446.640000116), np.float64(33010948.57000006), np.float64(33026930.610000145), np.float64(33232545.650000043), np.float64(33294343.97000013), np.float64(33519928.940000113)]",1449200.3799778698,-1,48,0.0,73,81,44544,42899
101,0,"[np.float64(35476178.43000061), np.float64(1600095.3147835284), np.float64(1637532.665771022), np.float64(1779453.1160359147), np.float64(1833503.8845566108), np.float64(1865617.2000000058), np.float64(2011319.0701319424), np.float64(2049484.4294392597), np.float64(2057123.3885431134), np.float64(2149411.366486952), np.float64(2230909.5900000026), np.float64(2272529.651401421), np.float64(2300098.6791136963), np.float64(2308762.660455208), np.float64(2327249.604044975), np.float64(2508731.857301924), np.float64(2523424.1543978597), np.float64(2658479.4199999906), np.float64(2798351.1923432406), np.float64(7043246.109023234), np.float64(7065460.934117418), np.float64(7078893.474195305), np.float64(7094940.7684486555), np.float64(7096757.099736892), np.float64(7097659.280680336), np.float64(7111381.113109893), np.float64(7115604.404142387), np.float64(7116580.8187137), np.float64(7121572.94188695), np.float64(7128447.519399305), np.float64(7136593.880670098), np.float64(7149297.961156253), np.float64(7150193.629605016), np.float64(7154000.740944945), np.float64(7167975.29511762), np.float64(7181381.038815931), np.float64(7181649.221586509), np.float64(7209359.727535467), np.float64(7219294.433392247), np.float64(7221944.291357851), np.float64(7222381.05186739), np.float64(7224989.443218005), np.float64(7230863.930824172), np.float64(7232264.481889376), np.float64(7232300.844815066), np.float64(7234108.841488598), np.float64(7238869.550118797), np.float64(7239162.6912123365), np.float64(7239175.6656924635), np.float64(7253602.895865202), np.float64(7261665.20559849), np.float64(7271146.853813687), np.float64(7297154.507385865), np.float64(7303241.099032779), np.float64(7305625.777567565), np.float64(7321292.577603879), np.float64(7331254.352107), np.float64(7339534.980972106), np.float64(7347585.91706373), np.float64(7357973.365976091), np.float64(10255721.04000001), np.float64(10325966.429999987), np.float64(10505580.059999986), np.float64(10575027.931019705), np.float64(10634635.319999993), np.float64(10724452.869999964), np.float64(10777946.999999937), np.float64(10804700.74999992), np.float64(10850901.579999954), np.float64(10870292.82999995), np.float64(11003786.529999923), np.float64(11015471.729999945), np.float64(11039015.249999952), np.float64(11039642.529999945), np.float64(11051055.169999903), np.float64(11065154.82999992), np.float64(11067421.41999993), np.float64(11146650.649999939), np.float64(11168289.049999924), np.float64(11187889.249999901), np.float64(11198639.099999916), np.float64(11226986.089999935), np.float64(11250098.809999922), np.float64(11391846.889999935), np.float64(11394681.519999936), np.float64(11451606.519999906), np.float64(11618041.629999895), np.float64(11668009.56999994), np.float64(11681787.15999994), np.float64(13757503.169999924), np.float64(14802558.469999904), np.float64(32005504.862013195), np.float64(32080200.636253465), np.float64(32108004.29269999), np.float64(32424350.209004514), np.float64(32430934.34478792), np.float64(32482728.360000066), np.float64(33356481.64000004), np.float64(34032259.63000019), np.float64(34048467.3900001), np.float64(34111047.01000022)]",1600095.3147835284,-1,48,0.0,73,81,44544,42899
