lower_bound,upper_bound
368963.72999999847,1375693293.243824
373279.4899999985,1086702248.971708
373682.8599999984,1086702248.971708
375869.9199999984,955708311.3309044
376201.35999999836,873681258.6612463
378758.5499999985,759803299.3668845
379344.9999999984,759803299.3668845
379691.8399999984,759803299.3668845
379927.20999999845,698671126.5245787
380791.9499999985,676809251.3437432
381114.12999999843,670720071.4353939
381772.2599999985,670720071.4353939
381867.70999999833,599691920.711392
382276.8899999985,592589000.3392715
382282.1799999988,592589000.3392715
382556.08999999845,522680109.21966314
382719.81999999844,522680109.21966314
382830.94999999844,522680109.21966314
383319.71999999846,522680109.21966314
383736.69999999844,522680109.21966314
383859.6599999984,516700519.99126565
384078.7999999984,465814695.9074518
384294.83999999845,465814695.9074518
384379.7099999985,465814695.9074518
384557.22999999847,465814695.9074518
384653.3899999985,465814695.9074518
384935.5799999988,465814695.9074518
385054.00999999844,376702509.67910486
385197.44999999844,376702509.67910486
385227.5899999985,376702509.67910486
385389.6699999985,376702509.67910486
385454.7399999988,376702509.67910486
385581.5499999984,376702509.67910486
385587.06999999844,376702509.67910486
385626.0899999985,376702509.67910486
385721.1699999985,376702509.67910486
385740.399999999,376702509.67910486
385759.8599999985,376702509.67910486
385932.30999999907,376702509.67910486
386101.55999999883,376702509.67910486
386107.2399999985,376702509.67910486
386112.6399999985,376702509.67910486
386262.77999999863,376702509.67910486
386270.9099999984,376702509.67910486
386390.52999999846,376702509.67910486
386542.1999999985,376702509.67910486
386628.3499999986,376702509.67910486
386639.1099999985,376702509.67910486
386655.0299999989,376702509.67910486
386829.1699999985,376702509.67910486
387078.68999999855,376702509.67910486
387103.8899999988,376702509.67910486
387113.6199999984,335822438.0877375
387141.93999999855,335822438.0877375
387175.02999999846,335822438.0877375
387324.47999999905,335822438.0877375
387337.1899999985,335822438.0877375
387434.7799999984,335822438.0877375
387455.2599999984,335822438.0877375
387476.1999999985,335822438.0877375
387521.12999999855,335822438.0877375
387586.08999999857,335822438.0877375
387731.47999999847,335822438.0877375
387814.8699999985,335822438.0877375
387817.7899999984,335822438.0877375
387874.53999999847,335822438.0877375
387921.4299999985,335822438.0877375
387948.33999999886,335822438.0877375
387981.61999999895,335822438.0877375
387997.01999999845,335822438.0877375
388019.89999999845,335822438.0877375
388119.98999999854,335822438.0877375
388157.63999999856,335822438.0877375
388209.5899999985,335822438.0877375
388261.9999999985,335822438.0877375
388366.5099999984,335822438.0877375
388367.04999999853,335822438.0877375
388426.1399999985,335822438.0877375
388510.0599999986,335822438.0877375
388586.9199999985,335822438.0877375
388618.07999999844,335822438.0877375
388631.9299999985,335822438.0877375
388680.91999999847,335822438.0877375
388744.3499999986,335822438.0877375
388777.7799999985,335822438.0877375
388804.1799999985,335822438.0877375
388836.9199999991,335822438.0877375
388849.00999999844,335822438.0877375
388921.43999999843,335822438.0877375
389001.01999999856,335822438.0877375
389059.89999999886,335822438.0877375
389064.13999999856,335822438.0877375
389189.27999999846,335822438.0877375
389205.16999999894,335822438.0877375
389207.4399999983,335822438.0877375
389284.10999999853,335822438.0877375
389290.0899999984,335822438.0877375
389394.7699999985,335822438.0877375
389539.5099999985,335822438.0877375
389545.9599999985,335822438.0877375
389565.57999999844,335822438.0877375
389627.1399999984,335822438.0877375
389653.8399999985,335822438.0877375
389729.6399999985,335822438.0877375
389729.8499999985,335822438.0877375
389732.1399999985,335822438.0877375
389742.06999999844,335822438.0877375
389774.1099999985,335822438.0877375
389806.0499999985,335822438.0877375
389819.28999999847,335822438.0877375
389833.4299999985,335822438.0877375
389890.96999999904,335822438.0877375
389896.2999999985,335822438.0877375
389912.84999999846,335822438.0877375
390038.0799999986,335822438.0877375
390111.02999999846,335822438.0877375
390128.4099999984,335822438.0877375
390135.46999999846,335822438.0877375
390138.0699999985,326827744.59759396
390313.62999999843,326827744.59759396
390333.13999999844,326827744.59759396
390341.98999999824,326827744.59759396
390371.55999999854,326827744.59759396
390449.5199999985,295695889.0234117
390487.669999999,295695889.0234117
390521.46999999846,295695889.0234117
390849.25999999844,295695889.0234117
390922.1699999986,295695889.0234117
390937.96999999846,295695889.0234117
391158.3799999986,295695889.0234117
391200.0599999985,295695889.0234117
391204.54999999906,295695889.0234117
391227.0499999991,295695889.0234117
391285.8699999985,295695889.0234117
391298.55999999854,295695889.0234117
391305.4699999985,295695889.0234117
391328.92999999854,295695889.0234117
391330.6199999985,295695889.0234117
391341.9299999985,295695889.0234117
391351.4899999985,295695889.0234117
391378.10999999865,295695889.0234117
391413.4499999985,295695889.0234117
391416.42999999854,295695889.0234117
391417.0299999985,295695889.0234117
391418.2299999986,295695889.0234117
391444.54999999853,295695889.0234117
391504.9099999985,295695889.0234117
391533.31999999855,295695889.0234117
391533.78999999847,275531070.39729077
391546.4099999985,275531070.39729077
391575.85999999853,275531070.39729077
391578.9599999986,275531070.39729077
391587.9899999986,275531070.39729077
391610.15999999846,275531070.39729077
391611.5399999991,275531070.39729077
391612.0099999985,275531070.39729077
391649.07999999844,275531070.39729077
391653.78999999847,275531070.39729077
391666.15999999864,275531070.39729077
391731.14999999857,275531070.39729077
391753.7099999986,273692934.8179021
391778.03999999864,273692934.8179021
391793.19999999896,273692934.8179021
391843.33999999857,240697401.88205668
391853.61999999854,240697401.88205668
391903.33999999857,240697401.88205668
391907.90999999864,240697401.88205668
391915.64999999857,222530551.5164097
391930.4299999985,222530551.5164097
391934.0899999986,222530551.5164097
391950.1299999986,222530551.5164097
391958.7599999985,222530551.5164097
391979.4299999985,222530551.5164097
391986.8299999985,222530551.5164097
391996.2299999985,222530551.5164097
391999.66999999847,222530551.5164097
392006.2199999985,222530551.5164097
392024.21999999846,222530551.5164097
392045.6099999989,222530551.5164097
392065.68999999855,222530551.5164097
392083.4199999985,222530551.5164097
392085.31999999867,222530551.5164097
392097.69999999844,222530551.5164097
392099.4799999985,222530551.5164097
392100.7399999986,222530551.5164097
392105.8099999985,222530551.5164097
392114.249999999,222530551.5164097
392117.77999999846,222530551.5164097
392125.2599999985,222530551.5164097
392132.6699999988,222530551.5164097
392136.7999999985,222530551.5164097
392152.49999999854,222530551.5164097
392154.16999999847,222530551.5164097
392162.4099999986,222530551.5164097
392162.7599999986,222530551.5164097
392166.89999999857,222530551.5164097
392198.7599999986,222530551.5164097
392212.94999999844,222530551.5164097
392217.00999999855,222530551.5164097
392242.18999999855,222530551.5164097
392247.3299999986,222530551.5164097
392275.8499999985,222530551.5164097
392295.68999999884,222530551.5164097
392302.3899999986,222530551.5164097
392309.2999999985,222530551.5164097
392318.16999999847,222530551.5164097
392334.61999999854,222530551.5164097
392341.6599999989,222530551.5164097
392355.15999999846,222530551.5164097
392369.29999999853,222530551.5164097
392373.3899999985,222530551.5164097
392381.4399999992,222530551.5164097
392381.94999999856,222530551.5164097
392397.9699999985,222530551.5164097
392402.3499999985,222530551.5164097
392425.42999999854,222530551.5164097
392427.08999999845,222530551.5164097
392467.1799999986,222530551.5164097
392484.23999999854,222530551.5164097
392485.92999999854,222530551.5164097
392486.36999999854,222530551.5164097
392495.86999999854,222530551.5164097
392501.2099999987,222530551.5164097
392501.95999999845,222530551.5164097
392524.66999999864,222530551.5164097
392535.77999999863,222530551.5164097
392555.49999999884,222530551.5164097
392572.49999999854,222530551.5164097
392578.4099999989,222530551.5164097
392588.3499999989,222530551.5164097
392593.59999999846,222530551.5164097
392598.8299999985,222530551.5164097
392663.47999999847,222530551.5164097
392701.36999999854,222530551.5164097
392705.809999999,222530551.5164097
392712.33999999845,222530551.5164097
392712.6799999984,222530551.5164097
392739.0699999985,222530551.5164097
392747.2599999986,176532113.11973247
392787.1499999987,144399190.85699174
392793.0099999985,144399190.85699174
392818.1299999989,144399190.85699174
392822.4999999991,144399190.85699174
392828.9999999988,144399190.85699174
392859.9899999985,144399190.85699174
392876.1699999989,144399190.85699174
