Number of Solutions, Number of Feasible, Objective Function Value, Time, hours, reduction_percentage, Number of thermal generators, number of renewable generators, number of variables, number of constraints
101,0,1627046.0200000047,-1,48,0.0,73,81,44544,42899
98,0,1856039.5537073168,-1,48,0.0,73,81,44544,42899
97,0,1580103.4220973484,-1,48,0.0,73,81,44544,42899
105,0,1654593.031028456,-1,48,0.0,73,81,44544,42899
101,0,1608102.33314623,-1,48,0.0,73,81,44544,42899
101,0,1507015.1384325204,-1,48,0.0,73,81,44544,42899
101,0,1716851.1823278116,-1,48,0.0,73,81,44544,42899
101,0,1624627.1425677151,-1,48,0.0,73,81,44544,42899
99,0,1478505.6789675383,-1,48,0.0,73,81,44544,42899
101,0,1828805.9600000065,-1,48,0.0,73,81,44544,42899
101,0,1866637.445873106,-1,48,0.0,73,81,44544,42899
101,0,1497389.756685929,-1,48,0.0,73,81,44544,42899
101,0,1413868.7901181031,-1,48,0.0,73,81,44544,42899
101,0,1641757.5333634038,-1,48,0.0,73,81,44544,42899
101,0,1824271.5389935824,-1,48,0.0,73,81,44544,42899
101,0,1343305.499766338,-1,48,0.0,73,81,44544,42899
101,0,1440642.1562137494,-1,48,0.0,73,81,44544,42899
101,0,1631468.1955463178,-1,48,0.0,73,81,44544,42899
103,0,1013453.5581070948,-1,48,0.0,73,81,44544,42899
101,0,1675627.2629058347,-1,48,0.0,73,81,44544,42899
101,0,1663251.4040642069,-1,48,0.0,73,81,44544,42899
101,0,1198769.9307732289,-1,48,0.0,73,81,44544,42899
101,0,1332724.528215428,-1,48,0.0,73,81,44544,42899
103,0,1507252.483597329,-1,48,0.0,73,81,44544,42899
101,0,1408746.7620610015,-1,48,0.0,73,81,44544,42899
101,0,1329606.9316410404,-1,48,0.0,73,81,44544,42899
101,0,1652265.6649532847,-1,48,0.0,73,81,44544,42899
101,0,1718158.8800000052,-1,48,0.0,73,81,44544,42899
101,0,1609371.5200000044,-1,48,0.0,73,81,44544,42899
101,0,1659236.049812412,-1,48,0.0,73,81,44544,42899
98,0,1791246.5793983538,-1,48,0.0,73,81,44544,42899
103,0,1545118.2931934001,-1,48,0.0,73,81,44544,42899
101,0,1320880.4932188885,-1,48,0.0,73,81,44544,42899
103,0,1591211.4588865926,-1,48,0.0,73,81,44544,42899
101,0,1294543.8926905296,-1,48,0.0,73,81,44544,42899
101,0,1560449.3781947384,-1,48,0.0,73,81,44544,42899
101,0,1392704.6845774492,-1,48,0.0,73,81,44544,42899
101,0,1573903.256269704,-1,48,0.0,73,81,44544,42899
101,0,1724007.190000007,-1,48,0.0,73,81,44544,42899
101,0,1783032.552875542,-1,48,0.0,73,81,44544,42899
101,0,1606056.570000006,-1,48,0.0,73,81,44544,42899
101,0,1519252.58261967,-1,48,0.0,73,81,44544,42899
101,0,1412694.5536834423,-1,48,0.0,73,81,44544,42899
